StructureID,StructureName,Longitude,Latitude
ANT226,MacARRAS BROOK BRIDGE,-62.19666,45.702133
ANT227,DUNMAGLASS BRIDGE,-62.206478,45.699671
ANT228,MacDONALDS BRIDGE #3,-62.16543,45.739497
ANT230,SUMMERSIDE CULVERT,-61.787926,45.594565
ANT231,ROSS BRIDGE,-62.032167,45.725063
ANT232,DURRANTS BRIDGE,-61.842455,45.620366
ANT233,LOWER SOUTH RIVER BROOK CULVERT,-61.905679,45.594906
ANT234,MacISAAC BRIDGE #2,-61.915351,45.53868
ANT235,JACK MACGILLIVARYS BRIDGE,-61.958836,45.618365
ANT236,MacPHERSONS BRIDGE,-61.942845,45.497643
ANT237,HORRAHANS BRIDGE,-61.942802,45.470828
